Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,10.1103/physrevlett.108.047002
Li Fe P,{},"{'Li': 1, 'Fe': 1, 'P': 1}",17.3,0.0,,,10.1103/physrevlett.108.047002
Li Fe P,{},"{'Li': 1, 'Fe': 1, 'P': 1}",18.0,0.0,,,10.1103/physrevlett.108.047002
Li Fe P,{},"{'Li': 1, 'Fe': 1, 'P': 1}",5.0,0.0,,,10.1103/physrevlett.108.047002
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.4,0.0,,,10.1103/physrevlett.108.047002
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",6.0,0.0,,,10.1103/physrevlett.108.047002
N b Se 2,{'b': []},,7.3,0.0,single crystal,,10.1103/physrevb.84.012508
(N H 3) K 3 C 60,{},"{'N': 1, 'H': 3, 'K': 3, 'C': 60}",30.0,0.0,,,10.1103/physrevlett.90.197007
Rb Fe 2 As 2,{},"{'Rb': 1, 'Fe': 2, 'As': 2}",2.6,0.0,,,10.1103/physrevb.79.104521
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",23.0,0.0,Single Crystals,,10.1103/physrevb.79.104521
Cs Fe 2 As 2,{},"{'Cs': 1, 'Fe': 2, 'As': 2}",3.8,0.0,,,10.1103/physrevb.79.104521
Ba 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.79.104521
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",3.8,0.0,,,10.1103/physrevb.79.104521
Ba 1-x Rb x Fe 2 As 2,{'x': [0.05]},"{'Ba': 0.95, 'Rb': 0.05, 'Fe': 2, 'As': 2}",23.0,0.0,Single crystals,,10.1103/physrevb.79.104521
H 2 S,{},"{'H': 2, 'S': 1}",150.0,150.0,,,10.1038/s41598-020-58065-9
La Y H,{},"{'La': 1, 'Y': 1, 'H': 1}",32.0,150.0,,,10.1038/s41598-020-58065-9
H 3 S,{},"{'H': 3, 'S': 1}",203.0,150.0,,,10.1038/s41598-020-58065-9
La H 10,{},"{'La': 1, 'H': 10}",215.0,150.0,,,10.1038/s41598-020-58065-9
La H 10,{},"{'La': 1, 'H': 10}",215.0,150.0,,,10.1038/s41598-020-58065-9
La Sc H,{},"{'La': 1, 'Sc': 1, 'H': 1}",52.0,150.0,,,10.1038/s41598-020-58065-9
Nb B 2,{},"{'Nb': 1, 'B': 2}",3.9,0.0,,,10.1134/1.1514768
Ta B 2,{},"{'Ta': 1, 'B': 2}",1.5,0.0,,,10.1134/1.1514768
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1134/1.1514768
Ag B 2,{},"{'Ag': 1, 'B': 2}",50.0,0.0,,,10.1134/1.1514768
Zr B 2,{},"{'Zr': 1, 'B': 2}",0.7,0.0,,,10.1134/1.1514768
Ta B 2,{},"{'Ta': 1, 'B': 2}",5.5,0.0,,,10.1134/1.1514768
Hg Ba 2 Cu O 4+δ,{'δ': []},,72.0,0.0,,,10.1038/s41567-019-0509-5
Hg Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},,117.0,0.0,,,10.1038/s41567-019-0509-5
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1143/jpsj.71.1993
La O 1-x F x Fe As,{'x': []},,26.0,0.0,,,10.1209/0295-5075/102/37003
Tl 2 Ba 2 Ca Cu 2 O 8+δ,{'δ': []},,62.0,0.0,,,
Y Ba 2 Cu 3 O 6.69,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.69}",103.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",37.75,0.0,,,10.1063/1.3186048
Mg B 2,{},"{'Mg': 1, 'B': 2}",35.95,0.0,,,10.1063/1.3186048
Mg B 2,{},"{'Mg': 1, 'B': 2}",5.8,0.0,,,10.1063/1.3186048
Mg B 2,{},"{'Mg': 1, 'B': 2}",5.8,0.0,,,10.1063/1.3186048
Ba (Fe 1-x Co x) 2 As 2,{'x': []},,20.0,0.0,,,10.1103/physrevb.80.174517
Ba Fe 2-x Co x As 2,{'x': [0.19]},"{'Ba': 1, 'Fe': 1.81, 'Co': 0.19, 'As': 2}",23.0,0.0,,,10.1103/physrevb.81.014513
Ba Fe 2-x Co x As 2,{'x': [0.19]},"{'Ba': 1, 'Fe': 1.81, 'Co': 0.19, 'As': 2}",23.0,0.0,,,10.1103/physrevb.81.014513
Nd O 1-x F x Bi S 2,{'x': []},,5.6,0.0,,,10.1209/0295-5075/101/17004
Bi 4 O 4 S 3,{},"{'Bi': 4, 'O': 4, 'S': 3}",4.5,0.0,,,10.1209/0295-5075/101/17004
Y Ba 2 Cu 3 O x,{'x': [6.4]},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.4}",35.0,0.0,single crystals,,10.1103/physrevb.97.224513
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",56.0,0.0,,,10.1073/pnas.0811335106
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",56.0,0.0,,,10.1073/pnas.0811335106
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",56.0,0.0,,,10.1073/pnas.0811335106
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",1.0,0.0,,,10.1073/pnas.0811335106
Bi 2 Sr 2 Ca 2 Cu 3 O 10,{},"{'Bi': 2, 'Sr': 2, 'Ca': 2, 'Cu': 3, 'O': 10}",4.0,0.0,,,10.1073/pnas.0811335106
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevlett.111.097003
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",87.0,0.0,,,10.1103/physrevlett.82.1939
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1007/s10909-020-02418-1
Nb 2 Pd S 5,{},"{'Nb': 2, 'Pd': 1, 'S': 5}",6.0,0.0,,,10.1007/s10948-015-2961-5
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,90.0,0.0,,,
B 2,{},{'B': 2},74.0,0.0,,,
B 2,{},{'B': 2},90.0,0.0,,,
B 2,{},{'B': 2},74.0,0.0,,,
C 3,{},{'C': 3},60.0,0.0,,,
C 3,{},{'C': 3},90.0,0.0,,,
Nd O 0.7 F 0.3 Bi S 2,{},"{'Nd': 1, 'O': 0.7, 'F': 0.3, 'Bi': 1, 'S': 2}",5.1,0.0,,,10.7566/jpsj.83.113701
Nd O 0.7 F 0.3 Bi S 2,{},"{'Nd': 1, 'O': 0.7, 'F': 0.3, 'Bi': 1, 'S': 2}",5.1,0.0,,,10.7566/jpsj.83.113701
Nd O 0.7 F 0.3 Bi S 2,{},"{'Nd': 1, 'O': 0.7, 'F': 0.3, 'Bi': 1, 'S': 2}",5.1,0.0,,,10.7566/jpsj.83.113701
Sc 2 Fe 3 Si 5,{},"{'Sc': 2, 'Fe': 3, 'Si': 5}",4.46,0.0,,,10.1016/j.intermet.2012.07.003
Lu 2 Fe 3 Si 5,{},"{'Lu': 2, 'Fe': 3, 'Si': 5}",6.25,0.0,,,10.1016/j.intermet.2012.07.003
Sr 1-x Sm x Fe As F,{'x': []},,55.0,0.0,,,10.1016/j.intermet.2012.07.003
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1016/j.intermet.2012.07.003
Y 2 Fe 3 Si 5,{},"{'Y': 2, 'Fe': 3, 'Si': 5}",1.68,0.0,,,10.1016/j.intermet.2012.07.003
Er 2 Fe 3 Si 5,{},"{'Er': 2, 'Fe': 3, 'Si': 5}",0.47,0.0,,,10.1016/j.intermet.2012.07.003
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1103/physrevlett.103.027002
Mo Se Te,{},"{'Mo': 1, 'Se': 1, 'Te': 1}",0.1,0.0,,,10.1002/adma.201904641
Mo Se Te,{},"{'Mo': 1, 'Se': 1, 'Te': 1}",0.1,0.0,,,10.1002/adma.201904641
Mo Se 0.95 Te 1.05,{},"{'Mo': 1, 'Se': 0.95, 'Te': 1.05}",3.43,0.0,,,10.1002/adma.201904641
Ag (C N) 2,{},"{'Ag': 1, 'C': 2, 'N': 2}",7.0,0.0,,,10.1021/jp002993t
La 2-x Ba x Cu O 4,{'x': []},,40.0,0.0,,,10.1103/physrevb.95.241111
Pr Fe As O 1-y,{'y': []},,51.0,0.0,,,10.1103/physrevb.79.064520
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",19.7,0.0,,,
Li 1+x Fe As,{'x': [0.2]},"{'Li': 1.2, 'Fe': 1, 'As': 1}",19.7,0.0,,,
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",37.0,0.0,,,
Y Ba 2 Cu 3 O 6.5,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.5}",55.0,0.0,single crystal,,10.1103/physrevb.80.214505
Tb Fe As O,{},"{'Tb': 1, 'Fe': 1, 'As': 1, 'O': 1}",52.0,0.0,single phase,,10.1103/physrevb.78.132506
Ce Fe As O 1-x F x,{'x': []},,41.0,0.0,,,10.1103/physrevb.78.132506
Nd Fe As O 1-x F x,{'x': [0.1]},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.9, 'F': 0.1}",52.0,0.0,,,10.1103/physrevb.78.132506
Sm Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevb.78.132506
Gd Fe As O 1-x F x,{'x': []},,36.0,0.0,,,10.1103/physrevb.78.132506
Pr Fe As O 1-x F x,{'x': [0.1]},"{'Pr': 1, 'Fe': 1, 'As': 1, 'O': 0.9, 'F': 0.1}",52.0,0.0,,,10.1103/physrevb.78.132506
Tb Fe As O,{},"{'Tb': 1, 'Fe': 1, 'As': 1, 'O': 1}",46.0,0.0,,,10.1103/physrevb.78.132506
Gd 1-x Th x Fe As O,{'x': []},,56.0,0.0,,,10.1103/physrevb.78.132506
Eu S,{},"{'Eu': 1, 'S': 1}",16.8,0.0,,,10.1063/1.1436284
Zr Zn 2,{},"{'Zr': 1, 'Zn': 2}",28.5,0.0,,,10.1088/0953-8984/15/24/105
Zr Zn 2,{},"{'Zr': 1, 'Zn': 2}",0.29,0.0,,,10.1088/0953-8984/15/24/105
U Ge 2,{},"{'U': 1, 'Ge': 2}",52.0,0.0,,,10.1088/0953-8984/15/24/105
U Rh Ge,{},"{'U': 1, 'Rh': 1, 'Ge': 1}",0.25,0.0,,,10.1088/0953-8984/15/24/105
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",9.2,0.0,,,10.1103/physrevb.91.094501
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.91.094501
Sn,{},{'Sn': 1},3.68,0.0,,,10.1103/physrevb.91.094501
Al,{},{'Al': 1},1.2,0.0,,,10.1103/physrevb.91.094501
Ba Ti O 3,{},"{'Ba': 1, 'Ti': 1, 'O': 3}",0.15,0.0,,,10.1103/physrevb.91.094501
Al,{},{'Al': 1},1.2,0.0,,,10.1103/physrevb.91.094501
H 2 S,{},"{'H': 2, 'S': 1}",203.0,170.0,,,10.1103/physrevb.91.094501
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",8.0,0.0,,,
Zn N y Ni 3,{'y': []},,3.0,0.0,,,
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",3.0,0.0,,,
Zn N y Ni 3,{'y': []},,3.0,0.0,,,
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",53.0,0.0,,,10.1103/physrevb.64.024523
Y Ba 2 Cu 3 O 6,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6}",53.0,0.0,,,10.1103/physrevb.64.024523
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,60.0,0.0,,,10.1103/physrevb.100.054514
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",88.0,0.0,,,10.1088/0256-307x/33/12/127402
(Li 0.8 Fe 0.2 O H) Fe Se,{},"{'Li': 0.8, 'Fe': 1.2, 'O': 1, 'H': 1, 'Se': 1}",40.0,0.0,,,10.1088/0256-307x/33/12/127402
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.65,0.0,polycrystalline,,10.1103/physrevlett.94.107001
V 3 Si,{},"{'V': 3, 'Si': 1}",17.0,0.0,polycrystalline,,10.1103/physrevlett.94.107001
La 2-x Sr x Cu O 4,{'x': []},,40.0,0.0,,,10.1103/physrevlett.108.227003
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",77.0,0.0,single crystals,,10.1103/physrevlett.108.227003
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",27.0,3.0,,,10.1143/jpsj.78.025001
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",13.0,0.5,,,10.1143/jpsj.78.025001
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",29.0,3.5,,,10.1143/jpsj.78.025001
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",6.9,0.0,,,10.1103/physrevb.71.174511
Fe Se,{},"{'Fe': 1, 'Se': 1}",45.0,17.8,thin films,,10.7566/jpsj.84.063701
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",66.0,0.0,,,10.1073/pnas.1302932110
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",55.0,0.0,,,10.1073/pnas.1302932110
Dy 2,{},{'Dy': 2},66.0,0.0,,,10.1073/pnas.1302932110
In,{},{'In': 1},3.4,0.0,,,10.1103/physrevb.65.024401
Cu x Bi 2 Se 3,{'x': []},,3.0,0.0,,,10.1103/physrevb.100.224509
Sr x Bi 2 Se 3,{'x': []},,3.0,0.0,,,10.1103/physrevb.100.224509
Nb x Bi 2 Se 3,{'x': []},,3.0,0.0,,,10.1103/physrevb.100.224509
Ni Bi 3,{},"{'Ni': 1, 'Bi': 3}",4.05,0.0,,,10.1016/j.ssc.2011.01.005
In,{},{'In': 1},2.0,0.0,,,10.1103/physrevb.93.024520
Mg B 2,{},"{'Mg': 1, 'B': 2}",37.6,0.0,film,,10.1103/physrevb.84.205438
Fe Se,{},"{'Fe': 1, 'Se': 1}",77.0,0.0,,,10.1103/physrevb.91.045107
Fe Se,{},"{'Fe': 1, 'Se': 1}",77.0,0.0,"bilayer, film",,10.1103/physrevb.91.045107
Fe Se,{},"{'Fe': 1, 'Se': 1}",70.0,0.0,epitaxial films,,10.1103/physrevb.91.045107
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",77.0,0.0,,,10.1103/physrevb.91.045107
Bi 2 Se 3,{},"{'Bi': 2, 'Se': 3}",2.5,0.0,,,10.1103/physrevb.92.020506
Sr 0.1 Bi 2 Se 3,{},"{'Sr': 0.1, 'Bi': 2, 'Se': 3}",2.9,0.0,single crystal,,10.1103/physrevb.92.020506
Sn Te,{},"{'Sn': 1, 'Te': 1}",4.5,0.0,,,10.1103/physrevb.92.020506
Sr 0.1 Bi 2 Se 3,{},"{'Sr': 0.1, 'Bi': 2, 'Se': 3}",2.94,0.0,,,10.1103/physrevb.92.020506
Sr 0.1 Bi 2 Se 3,{},"{'Sr': 0.1, 'Bi': 2, 'Se': 3}",2.67,0.0,,,10.1103/physrevb.92.020506
Ti 2 N,{},"{'Ti': 2, 'N': 1}",50.0,0.0,,,10.1088/0953-2048/27/1/015009
Ti 2 N,{},"{'Ti': 2, 'N': 1}",5.6,0.0,,,10.1088/0953-2048/27/1/015009
Ti N,{},"{'Ti': 1, 'N': 1}",50.0,0.0,,,10.1088/0953-2048/27/1/015009
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1002/chin.201547217
Fe Se,{},"{'Fe': 1, 'Se': 1}",77.0,0.0,thin film,,10.1002/chin.201547217
La Fe P O 1-x F x,{'x': []},,5.0,0.0,,,10.1002/chin.201547217
Fe 1+y Se,{'y': []},,8.0,0.0,,,10.1002/chin.201547217
Fe 1+y Se,{'y': []},,37.0,0.0,,,10.1002/chin.201547217
Fe Te 0.35 Se 0.65,{},"{'Fe': 1, 'Te': 0.35, 'Se': 0.65}",14.0,0.0,,,10.1002/chin.201547217
Gd 1-x Th x Fe As O,{'x': []},,56.0,0.0,,,10.1002/chin.201547217
Sm Fe As O 0.85,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",55.0,0.0,,,10.1103/physrevb.94.224505
Pr Ba 2 Cu 3 O 7,{},"{'Pr': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",15.0,0.0,,,10.1103/physrevb.94.224505
Eu Fe As O 0.85 F 0.15,{},"{'Eu': 1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",55.0,0.0,,,10.1103/physrevb.94.224505
Mg B 2,{},"{'Mg': 1, 'B': 2}",24.0,0.0,,,10.1103/physrevb.94.144506
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.94.144506
U 2,{},{'U': 2},56.0,0.0,,,
Al,{},{'Al': 1},1.2,0.0,thin films,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",9.0,0.0,,,10.1103/physrevlett.124.107001
Li 2 Pt Si 3,{},"{'Li': 2, 'Pt': 1, 'Si': 3}",1.8,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",8.0,0.0,,,10.7566/jpsj.83.103703
Li 2 Rh Si 3,{},"{'Li': 2, 'Rh': 1, 'Si': 3}",2.2,0.0,,,10.7566/jpsj.83.103703
Ba 0.55 K 0.45 Fe 2 As 2,{},"{'Ba': 0.55, 'K': 0.45, 'Fe': 2, 'As': 2}",7.2,0.0,,,10.7566/jpsj.83.103703
Ba 8 Si 46,{},"{'Ba': 8, 'Si': 46}",8.0,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Ir Si 3,{},"{'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Li 2 Ir Si 3,{},"{'Li': 2, 'Ir': 1, 'Si': 3}",3.7,0.0,,,10.7566/jpsj.83.103703
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",18.0,0.0,,,10.7566/jpsj.83.103703
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.7566/jpsj.83.103703
La 1.4 Sr 1.6 Mn 2 O 7,{},"{'La': 1.4, 'Sr': 1.6, 'Mn': 2, 'O': 7}",90.0,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",93.0,0.0,,,10.1209/epl/i2001-00452-6
La 1-x Sr x Mn O 3,{'x': []},,90.0,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",51.0,0.0,single crystal,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",87.5,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",88.0,0.0,single crystal,,10.1209/epl/i2001-00452-6
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1209/epl/i2001-00452-6
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.2,0.0,,,10.1209/epl/i2001-00452-6
B S Co O,{},"{'B': 1, 'S': 1, 'Co': 1, 'O': 1}",3.2,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",80.0,0.0,thin film,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",93.0,0.0,single crystals,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",83.0,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",83.0,0.0,single crystal,,10.1209/epl/i2001-00452-6
U Pd 2 Al 3,{},"{'U': 1, 'Pd': 2, 'Al': 3}",2.0,0.0,,,10.1209/epl/i2001-00452-6
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.2,0.0,,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",29.0,0.0,single crystals,,10.1209/epl/i2001-00452-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",91.0,0.0,,,10.1209/epl/i2001-00452-6
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,
Fe Se 0.5 Te 0.5,{},"{'Fe': 1, 'Se': 0.5, 'Te': 0.5}",12.5,0.0,,,
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",15.0,0.0,,,
U Te 2,{},"{'U': 1, 'Te': 2}",1.6,0.0,,,
Nd Fe As O 0.82 F 0.18,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.82, 'F': 0.18}",51.0,0.0,,,10.1088/0953-2048/25/11/113001
(Ba K) Fe 2 As 2,{},"{'Ba': 1, 'K': 1, 'Fe': 2, 'As': 2}",5.0,0.0,single crystals,,10.1088/0953-2048/25/11/113001
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1088/0953-2048/25/11/113001
Nd Fe As O 0.82 F 0.18,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.82, 'F': 0.18}",47.0,0.0,single crystals,,10.1088/0953-2048/25/11/113001
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-2048/25/11/113001
Mg B 2,{},"{'Mg': 1, 'B': 2}",20.0,0.0,,,10.1088/0953-2048/25/11/113001
Fe Se,{},"{'Fe': 1, 'Se': 1}",15.1,0.0,,,10.1088/0953-2048/25/11/113001
Sm O 0.85 F 0.15 Fe As,{},"{'Sm': 1, 'O': 0.85, 'F': 0.15, 'Fe': 1, 'As': 1}",46.0,0.0,,,10.1088/0953-2048/25/11/113001
Sm Fe As O 0.8 F 0.2,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",56.1,0.0,polycrystalline,,10.1088/0953-2048/25/11/113001
Ba (Fe 1-x Co x) 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.85.235133
(Tl Rb) x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1007/s11467-011-0229-5
K 0.8 Fe Se 2,{},"{'K': 0.8, 'Fe': 1, 'Se': 2}",31.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,31.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,40.0,0.0,,,10.1007/s11467-011-0229-5
Sr 2 V Fe As O 3,{},"{'Sr': 2, 'V': 1, 'Fe': 1, 'As': 1, 'O': 3}",36.5,0.0,,,10.1103/physrevb.89.184506
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1103/physrevb.89.184506
Sr 2 V Fe As O 3,{},"{'Sr': 2, 'V': 1, 'Fe': 1, 'As': 1, 'O': 3}",36.5,0.0,,,10.1103/physrevb.89.184506
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",78.6,0.0,thin film,,10.1103/physrevb.94.054504
La O 1-x F x Fe As,{'x': []},,26.0,0.0,,,
Ce O 1-x F x Fe As,{'x': []},,40.0,0.0,,,
La O 1-x F x Ni As,{'x': []},,4.0,0.0,,,
